Item,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying #,Accession Number,Date tested,Donor,Notes
PC Globe 5.0,Software,Educational,5¼” Floppy Disk,IBM PC/XT/AT/PS2 DOS 2.0 or later,PC Globe 5.0,PC Globe 5.0,"PC Globe, Inc.",,"PC Globe, Inc.",English,1992,"Case, User's Guide, Copy of User's Guide, 4 of 4 floppy disks",,ISBN 0-929453-61-1,2017.12.01,,,
The Oregon Trail,Software,Educational,"3.5"" Floppy Disk & CD ROM",IBM/Tandy DOS 3.3 or later,The Oregon Trail Deluxe VGA Edition,The Oregon Trail,MECC,,MECC,English,1992,"Case, User's Guide, 3 floppy disks, 1 CD ROM for Windows or Macintosh version 1.0 1993-94",,ISBN 0-7929-260-2,2017.12.02,,CD ROM contains a 1997 Streets of SIM City disk,
Typing Strategy,Software,Educational,5¼” Floppy Disk,"IBM PC (PC DOS, 48k)",Typing Strategy,Typing Strategy,Robert B. Dilts,,Behavioral Engineering,English,1982,Booklet with sleeve in front cover containing one 5¼” Floppy,,,2017.12.08,,,
Typing Tutor,Software,Educational,5¼” Floppy Disk,IBM PC,Typing Tutor,Typing Tutor,"Michael Sierchio, Dick Ainsworth, Al Baker",,"Microsoft, Inc.",English,1981,Binder with diskette and user guide,,,2017.12.09,,,
Stocks & Bonds,Software,Educational,5¼” Floppy Disk,IBM PC,Stocks & Bonds,Stocks & Bonds,"Microcomputer Games, Inc.",,Avalon Hill Game Company,English,1982,Box containing instructions and 5¼” Floppy Disk,,,2017.12.38,,,
Practica Musica,Software,Educational,"3.5"" Floppy Disk",Macintosh,Practica Musica,Practica Musica,Ars Nova,Jeffrey Evans,Ars Nova,English,1993,"Box containing 3.5"" floppy, Installation Instructions, Operating Manual, and textbook titled Windows on Music",,,2017.12.10,,,
Mavis Beacon Teaches Typing! For Kids,Software,Educational,"3.5"" Floppy Disk",Windows,Mavis Beacon Teaches Typing! For Kids,Mavis Beacon Teaches Typing! For Kids,The Software Toolworks,,The Software Toolworks,English,1994,"Bag of six 3.5"" floppy disks",,,2017.12.17,,,
MasterType,Software,Educational,5¼” Floppy Disk,IBM PC,MasterType,MasterType,The Scarborough System,Bruce Zweig,The Scarborough System,English,1984,Booklet containing one 5¼” Floppy,,,2017.12.18,,,
Monsters & Make-Believe,Software,Educational,5¼” Floppy Disk,,Monsters & Make-Believe,Monsters & Make-Believe,"Pelican Software, Inc.",,"Learning Lab Software Publishing, Inc.",English,1987,5¼” Floppy Disk,,,2017.12.23,,,
Word Vision,Software,Educational,5¼” Floppy Disk,IBM PC,Word Vision: writing tool,,Mass Market Software '82 LTD,,Bruce & James Program Publishers,English,1983,5¼” Floppy Disk,,,2017.12.30,,,
Flight Simulator,Software,Educational,5¼” Floppy Disk,IBM PC,Microsoft Flight Simulator,,Microsoft,,Microsoft ,English,,5¼” Floppy Disk,,Part No. 999-999-880,2017.12.31,,,
Mavis Beacon Teaches Typing!  ,Software,Educational,"5¼” and 3.5"" Floppy Disks","IBM PC, XT, AT, PS/2 and Compatibles",Mavis Beacon Teaches Typing!  ,,The Software Toolworks,Mavis Beacon,The Software Toolworks,English,1987,"Box, six 3.5"" disks, four 5¼” disks, user manual, how-to guide, customer letter from Toolworks",,ISBN 0-935029-16-8,2017.12.32,,,
"Mavis Beacon Teaches Typing, Version 3",Software,Educational,"3.5"" Floppy",Windows,"Mavis Beacon Teaches Typing, Version 3",,The Software Toolworks,Mavis Beacon,The Software Toolworks,English,1987-1993,"Box, four 3.5"" disks, owner's manual, user's guide",,ISBN 0-7911-1416-3,2017.12.33,,,
PC Globe Maps N' Facts,Software,Educational,"3.5"" Floppy",IBM/Tandy MS/PC-DOS,PC Globe Maps N' Facts,,Broderbund,,Broderbund,English,1993,"Box, five 3.5"" disks, owner's manual, previous owner ephemera (computer quiz)",,ISBN 1-55790-842-7,2017.12.35,,,
Word Attack,Software,Educational,5¼” Floppy Disk,IBM PC,Word Attack,,Dr. Janice Davidson & Rickard Eckert,,Davidson & Associates,English,1983,Binder with user manual and 5¼” Floppy Disk,,,2018.01.03,,,
Wizard of Words,Software,Educational,5¼” Floppy Disk,IBM PC,Wizard of Words,,Advanced Ideas,Anita Neely & Tim Aaronson,"Advanced Ideas, Inc.",English,1983,Box with user guide and 5¼” Floppy Disk,,,2018.01.05,,,
Dazzle,Software,Educational,5¼” Floppy Disk,IBM PC,Dazzle,,,,,English,,5¼” Floppy Disk,,,2017.12.39,,,
Typing Tutor,Software,Educational,5¼” Floppy Disk,IBM PC,Typing Tutor,Typing Tutor,,,"Microsoft, Inc.",English,1979,5¼” Floppy Disk,,,2018.01.28,,,
Typing Tutor 5 with Letter Invaders,Software,Educational,"3.5"" Floppy","IBM PC, PC/XT, PC AT, PS/2 and compatibles",Typing Tutor 5 with Letter Invaders,,"Kriya Systems, Inc.",,Simon & Schuster Software,English,1991,"Booklet and 3.5"" Floppy",,0-13-934092-0,2018.01.29,,,
ArcView GIS 3.1,Software,Educational,CD,Windows,ArcView GIS 3.1,ArcView GIS 3.1,ESRI,,ESRI,English,1992-1998,CD,,,2018.11.24,,,
ESRI Data & Maps,Software,Educational,CD-ROM,Windows,ESRI Data & Maps,ESRI Data & Maps,ESRI,,ESRI,English,1998,Fold-out CD case with 4s,,,2018.11.25,,,
Topo USA 5.0,Software,Educational,CD-ROM,Windows 98/2000/Me or Windows XP,Topo USA 5.0,Topo USA 5.0,DeLorme,,DeLorme,English,2004,Box with 8 CDs and booklet,,,2018.11.26,,,
Topo! Interactive Maps on CD-ROM Colorado Rocky Mountain Wilderness and Ski Areas: North CD Version 1.2.4,Software,Educational,CD-ROM,"Windows 3.1, 95, NT",Topo! Interactive Maps on CD-ROM Colorado Rocky Mountain Wilderness and Ski Areas: North CD Version 1.2.4,,Wildflower Productions,,Wildflower Productions,English,1998,CD case containing 2 CDs,,,2018.11.27,,,
MapSource Topo Version 3.02,Software,Educational,CD-ROM,Windows,MapSource Topo Version 3.02,MapSource Topo Version 3.02,Garmin,,Garmin,English,1999-2002,CD case containing 4 CDs,,,2018.11.28,,,
