[Product Name],Medium,Type,Product Name,User Name,Intended Compatibility,Interface,Model,Serial,Year,Accession #,Tested [date],Donor,Notes
[Atari 400 Joystick],Peripheral,Game Controller,Atari 400 Joystick,Atari 400 Joystick,Atari 400,,,,,2016.06.32,5/30/2013,,
[Atari 800XL Joystick],Peripheral,Game Controller,Atari 800XL Joystick,Atari 800XL Joystick,Atari 800XL,,,,,2013.06.40,5/30/2013,,
[Atari Gemini Dual Paddle Controllers],Peripheral,Game Controller,Gemini Paddles,Atari Gemini Dual Paddle Controllers,Atari systems,,,,,2013.07.361,,,
[Atari Joystick],Peripheral,Joystick,Atari Joystick,Atari Joystick,Atari systems,Attachable 9-pin serial connection,,,,2013.07.356,,,
[Commodore 64 Gemstik Joystick],Peripheral,Game Controller,Gemstik,Commodore 64 Gemstik Joystick,Commodore 64,,,,,2013.06.57,5/30/2013,,
[Commodore VIC-20 Joystick],Peripheral,Game Controller,Commodore VIC-20 Joystick,Commodore VIC-20 Joystick,Commodore VIC-20,,,,,2013.06.49,5/30/2013,,
[NES Controller],Peripheral,Game Controller,NES Controller,NES Controller,Nintendo Entertainment System,,,,,2013.06.100,5/30/2013,,2013.06.101.
[NES Zapper],Peripheral,Game Controller,NES Zapper,"NES Zapper\, Zapper",NES,9-pin controller input,NES-005,N/A,1985,2013.06.102,5/30/2013,,
[Nintendo 64 Controller],Peripheral,Game Controller,Nintendo 64 Controller,N64 Controller,Nintendo 64,N/A,NUS-005,N/A,1996,2014.05.2,,Mark Morris,
[Nintendo Game Genie],Peripheral,Cheat Cartridge,Game Genie,Nintendo Game Genie,Nintendo Entertainment System,Cartridge,N/A,N/A,1990,2013.06.103,5/30/2013,,
[Nintendo Power Pad],Peripheral,Floor Mat Game Controller,Nintendo Power Pad,Power Pad,Nintendo Entertainment System,N/A,N/A,N/A,1988,2014.4.1,5/14/2014,,
[TI-99/4A Joystick],Peripheral,Game Controller,TI-99/4A Joystick,TI-99/4A Joystick,Texas Instruments TI-99/4A,,,,,2013.06.43,5/30/2013,,
[Vectrex Joystick],Peripheral,Game Controller,Vectrex Controller,Vectrex Controller,Vectrex,,,,,2013.06.71,5/30/2013,,
[Vectrex Light Pen],Peripheral,Light Pen,Light Pen,Vectrex Light Pen,Vectrex,9-pin controller input,N/A,N/A,1983,2013.06.72,6/8/2013,,
[WICO Computer Command Joystick],Peripheral,Game Controller,WICO Computer Command Joystick,WICO Computer Command Joystick,,,,,,2013.06.59,,,
[WICO Joystick],Peripheral,Game Controller,Command Control,WICO Joystick,Atari,9-pin,Command Control,N/A,~1983,2014.1.244,,Keith Moore,
[Spectravideo QuickShot joystick],Peripheral,[Game Controller/Joystick/Light Pen],Spectravideo QuickShot joystick,Spectravideo QuickShot joystick,Atari 400/800/Commodore,Atari joystick port,QUICKSHOT1,N/A,1982,2015.03.12,,, 
[Epyx 500XJ joystick],Peripheral,[Game Controller/Joystick/Light Pen],Epyx 500XJ joystick,Epyx 500XJ joystick,Atari 400/800/Commodore,Atari joystick,500XJ,N/A,c. 1982,2015.03.13,,,
