Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes
KOGi,Hardware,Monitor,KOGi,,KOGi,L9CH,2003,$500,A9NX32500126,,,,,,"DC, VGA, Audio in",,,,2018.02.13,,,Built-in speakers
Viewsonic,Hardware,CRT Monitor,Viewsonic,,Viewsonic,14ES,1995,,A153341896,,,,,,1 x display / video - VGA - 15 pin HD D-Sub (HD-15) - 1,Power supply,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
